sentence	question	choices	attachment	correct
استمعت إلى صديق الموسيقار الذي يُلحن أغاني للأفلام.	من يُلحن الأغاني؟	الصديق أم الموسيقار	low	الموسيقار
استمعت إلى صديق الموسيقار الذي هاتفني بالأمس.	من هاتف بالأمس؟	الصديق أم الموسيقار	high	الصديق
التقيت بوالد المحامي الذي يدافع عن القضايا الإنسانية.	من يُدافع عن القضايا؟	الوالد أم المحامي	low	المحامي
التقيت بوالد المحامي الذي تُوفي في حادث سير الأسبوع الماضي.	من تُوفي في حادث سير؟	الوالد أم المحامي	high	الوالد
قرأت عن صديق العالم الذي اكتشف علاجًا جديدًا للمرض.	من اكتشف علاجا جديدا؟	الصديق أم العالم	low	العالم
قرأت عن صديق العالم الذي فشل في اجتياز الامتحان.	من فشل في الامتحان؟	الصديق أم العالم	high	الصديق
زرت حديقة المكتبة الكبيرة التي تضم مجموعة نادرة من الكتب القديمة والمخطوطات.	ما المكان الذي يضم كتبًا قديمة؟	الحديقة أم المكتبة	low	المكتبة
زرت حديقة المكتبة الكبيرة التي تحيط بمباني الجامعة.	ما المكان الذي يحيط بمباني الجامعة؟	الحديقة أم المكتبة	high	الحديقة
تحدثت إلى أستاذ الصحفي المخضرم الذي يغطي الأحداث العالمية لصالح صحيفة معروفة.	من يغطي الأحداث العالمية؟	الأستاذ أم الصحفي	low	الصحفي
تحدثت إلى أستاذ الصحفي المخضرم الذي تزوج الأسبوع الماضي.	من تزوج الأسبوع الماضي؟	الأستاذ أم الصحفي	high	الأستاذ
أُعجبت بطالب العالم الجليل الذي اكتشف علاجًا جديدًا لمرض خطير مؤخرًا.	من اكتشف علاجا جديدا؟	الطالب أم العالم	low	العالم
أُعجبت بطالب العالم الجليل الذي تحصل على درجات عالية في كلية الطب.	من تحصل على درجات عالية؟	الطالب أم العالم	high	الطالب
رأيت ابنة المرأة الثرية التي تمتلك ثروة طائلة لبناء مدارس للفقراء.	من تمتلك ثروة طائلة؟	الابنة أم المرأة	low	المرأة
رأيت ابنة المرأة الثرية التي تحصلت على منحة دراسية بالخارج.	من تحصل على منحة دراسية؟	الابنة أم المرأة	high	الابنة
قابلت صديقة المترجمة الماهرة التي ترجمت الوثائق في المحكمة؟	من ترجم الوثائق؟	الصديقة أم المترجمة	low	المترجمة
قابلت صديقة المترجمة الماهرة التي ارتبطت بالطبيب المشهور.	من ارتبط بالطبيب؟	الصديقة أم المترجمة	high	الصديقة
